id,kode_provinsi,nama_provinsi,pendidikan_akhir,jenis_kelamin,jumlah_penduduk,satuan,tahun
1,32,JAWA BARAT,TIDAK/BELUM SEKOLAH,LAKI-LAKI,3066259,JIWA,2013
2,32,JAWA BARAT,TIDAK/BELUM SEKOLAH,PEREMPUAN,2917803,JIWA,2013
3,32,JAWA BARAT,BELUM TAMAT SD,LAKI-LAKI,1870596,JIWA,2013
4,32,JAWA BARAT,BELUM TAMAT SD,PEREMPUAN,1827141,JIWA,2013
5,32,JAWA BARAT,SD/SEDERAJAT,LAKI-LAKI,7249321,JIWA,2013
6,32,JAWA BARAT,SD/SEDERAJAT,PEREMPUAN,7700384,JIWA,2013
7,32,JAWA BARAT,SMP/SEDERAJAT,LAKI-LAKI,3366824,JIWA,2013
8,32,JAWA BARAT,SMP/SEDERAJAT,PEREMPUAN,3299143,JIWA,2013
9,32,JAWA BARAT,SMA/SEDERAJAT,LAKI-LAKI,4770978,JIWA,2013
10,32,JAWA BARAT,SMA/SEDERAJAT,PEREMPUAN,3741320,JIWA,2013
11,32,JAWA BARAT,DIPLOMA I/II/SEDERAJAT,LAKI-LAKI,104773,JIWA,2013
12,32,JAWA BARAT,DIPLOMA I/II/SEDERAJAT,PEREMPUAN,126366,JIWA,2013
13,32,JAWA BARAT,DIPLOMA III/SEDERAJAT,LAKI-LAKI,305016,JIWA,2013
14,32,JAWA BARAT,DIPLOMA III/SEDERAJAT,PEREMPUAN,315876,JIWA,2013
15,32,JAWA BARAT,DIPLOMA IV/STRATA 1,LAKI-LAKI,808574,JIWA,2013
16,32,JAWA BARAT,DIPLOMA IV/STRATA 1,PEREMPUAN,627532,JIWA,2013
17,32,JAWA BARAT,STRATA 2,LAKI-LAKI,73399,JIWA,2013
18,32,JAWA BARAT,STRATA 2,PEREMPUAN,33680,JIWA,2013
19,32,JAWA BARAT,STRATA 3,LAKI-LAKI,7884,JIWA,2013
20,32,JAWA BARAT,STRATA 3,PEREMPUAN,3624,JIWA,2013
21,32,JAWA BARAT,LAINNYA,LAKI-LAKI,3288,JIWA,2013
